2024-06-01 10:55:51 - #----------Config info----------#
2024-06-01 10:55:51 - model_config: {'num_classes': 2, 'input_channels': 4, 'c_list': [8, 16, 24, 32, 48, 64], 'split_att': 'fc', 'bridge': True},
2024-06-01 10:55:51 - test_weights: ,
2024-06-01 10:55:51 - datasets: ISIC2017,
2024-06-01 10:55:51 - data_path: ,
2024-06-01 10:55:51 - criterion: BceDiceLoss(
  (bce): BCELoss(
    (bceloss): BCELoss()
  )
  (dice): DiceLoss()
),
2024-06-01 10:55:51 - num_classes: 1,
2024-06-01 10:55:51 - input_size_h: 384,
2024-06-01 10:55:51 - input_size_w: 384,
2024-06-01 10:55:51 - input_channels: 4,
2024-06-01 10:55:51 - distributed: False,
2024-06-01 10:55:51 - local_rank: -1,
2024-06-01 10:55:51 - num_workers: 0,
2024-06-01 10:55:51 - seed: 42,
2024-06-01 10:55:51 - world_size: None,
2024-06-01 10:55:51 - rank: None,
2024-06-01 10:55:51 - amp: False,
2024-06-01 10:55:51 - batch_size: 4,
2024-06-01 10:55:51 - epochs: 80,
2024-06-01 10:55:51 - work_dir: ./results/,
2024-06-01 10:55:51 - print_interval: 5000,
2024-06-01 10:55:51 - val_interval: 1,
2024-06-01 10:55:51 - save_interval: 1,
2024-06-01 10:55:51 - threshold: 0.5,
2024-06-01 10:55:51 - opt: AdamW,
2024-06-01 10:55:51 - lr: 0.001,
2024-06-01 10:55:51 - betas: (0.9, 0.999),
2024-06-01 10:55:51 - eps: 1e-08,
2024-06-01 10:55:51 - weight_decay: 0.01,
2024-06-01 10:55:51 - amsgrad: False,
2024-06-01 10:55:51 - sch: CosineAnnealingLR,
2024-06-01 10:55:51 - T_max: 50,
2024-06-01 10:55:51 - eta_min: 1e-05,
2024-06-01 10:55:51 - last_epoch: -1,
2024-06-01 10:55:53 - train: epoch 1, iter:0, loss: 1.4348, lr: 0.001
2024-06-01 12:04:20 - train: epoch 1, iter:5000, loss: 0.8982, lr: 0.001
2024-06-01 12:26:39 - val epoch: 1,  miou: 0.7651053675963261, f1_or_dsc: 0.8669231669021848, accuracy: 0.8691727593651002
2024-06-01 12:26:40 - train: epoch 2, iter:0, loss: 0.4405, lr: 0.0009990232305719944
2024-06-01 13:37:20 - train: epoch 2, iter:5000, loss: 0.7260, lr: 0.0009990232305719944
2024-06-01 13:59:28 - val epoch: 2,  miou: 0.8563072452585251, f1_or_dsc: 0.9225921489513644, accuracy: 0.918329901628354
2024-06-01 13:59:29 - train: epoch 3, iter:0, loss: 0.4485, lr: 0.0009960967771506664
2024-06-01 15:10:14 - train: epoch 3, iter:5000, loss: 0.7286, lr: 0.0009960967771506664
2024-06-01 15:32:18 - val epoch: 3,  miou: 0.7384014736730679, f1_or_dsc: 0.84951777233932, accuracy: 0.8331009392515653
2024-06-01 15:32:19 - train: epoch 4, iter:0, loss: 0.9083, lr: 0.0009912321891107007
2024-06-01 16:42:04 - train: epoch 4, iter:5000, loss: 0.8582, lr: 0.0009912321891107007
2024-06-01 17:04:50 - val epoch: 4,  miou: 0.8519276952959473, f1_or_dsc: 0.9200442300851329, accuracy: 0.9158960308798417
2024-06-01 17:04:51 - train: epoch 5, iter:0, loss: 0.4975, lr: 0.0009844486647586721
2024-06-01 18:15:35 - train: epoch 5, iter:5000, loss: 0.7179, lr: 0.0009844486647586721
2024-06-01 18:37:52 - val epoch: 5,  miou: 0.8668301411656103, f1_or_dsc: 0.9286652513810167, accuracy: 0.9246814748778267
2024-06-01 18:37:53 - train: epoch 6, iter:0, loss: 0.4666, lr: 0.0009757729755661009
2024-06-01 19:48:03 - train: epoch 6, iter:5000, loss: 0.6683, lr: 0.0009757729755661009
