2024-06-01 10:53:42 - #----------Config info----------#
2024-06-01 10:53:42 - model_config: {'num_classes': 2, 'input_channels': 4, 'c_list': [8, 16, 24, 32, 48, 64], 'split_att': 'fc', 'bridge': True},
2024-06-01 10:53:42 - test_weights: ,
2024-06-01 10:53:42 - datasets: ISIC2017,
2024-06-01 10:53:42 - data_path: ,
2024-06-01 10:53:42 - criterion: BceDiceLoss(
  (bce): BCELoss(
    (bceloss): BCELoss()
  )
  (dice): DiceLoss()
),
2024-06-01 10:53:42 - num_classes: 1,
2024-06-01 10:53:42 - input_size_h: 384,
2024-06-01 10:53:42 - input_size_w: 384,
2024-06-01 10:53:42 - input_channels: 4,
2024-06-01 10:53:42 - distributed: False,
2024-06-01 10:53:42 - local_rank: -1,
2024-06-01 10:53:42 - num_workers: 0,
2024-06-01 10:53:42 - seed: 42,
2024-06-01 10:53:42 - world_size: None,
2024-06-01 10:53:42 - rank: None,
2024-06-01 10:53:42 - amp: False,
2024-06-01 10:53:42 - batch_size: 4,
2024-06-01 10:53:42 - epochs: 80,
2024-06-01 10:53:42 - work_dir: ./results/,
2024-06-01 10:53:42 - print_interval: 5000,
2024-06-01 10:53:42 - val_interval: 1,
2024-06-01 10:53:42 - save_interval: 1,
2024-06-01 10:53:42 - threshold: 0.5,
2024-06-01 10:53:42 - opt: AdamW,
2024-06-01 10:53:42 - lr: 0.001,
2024-06-01 10:53:42 - betas: (0.9, 0.999),
2024-06-01 10:53:42 - eps: 1e-08,
2024-06-01 10:53:42 - weight_decay: 0.01,
2024-06-01 10:53:42 - amsgrad: False,
2024-06-01 10:53:42 - sch: CosineAnnealingLR,
2024-06-01 10:53:42 - T_max: 50,
2024-06-01 10:53:42 - eta_min: 1e-05,
2024-06-01 10:53:42 - last_epoch: -1,
2024-06-01 10:53:44 - train: epoch 1, iter:0, loss: 1.3920, lr: 0.001
2024-06-01 12:00:46 - train: epoch 1, iter:5000, loss: 0.8391, lr: 0.001
2024-06-01 12:24:01 - val epoch: 1,  miou: 0.7508120734257521, f1_or_dsc: 0.8576729448257284, accuracy: 0.8609514799534235
2024-06-01 12:24:02 - train: epoch 2, iter:0, loss: 0.7885, lr: 0.0009990232305719944
2024-06-01 13:35:05 - train: epoch 2, iter:5000, loss: 0.6640, lr: 0.0009990232305719944
2024-06-01 13:57:27 - val epoch: 2,  miou: 0.7184812160121051, f1_or_dsc: 0.8361816344776899, accuracy: 0.8328709085261955
2024-06-01 13:57:28 - train: epoch 3, iter:0, loss: 0.7647, lr: 0.0009960967771506664
2024-06-01 15:07:23 - train: epoch 3, iter:5000, loss: 0.6652, lr: 0.0009960967771506664
2024-06-01 15:30:15 - val epoch: 3,  miou: 0.7356465372413058, f1_or_dsc: 0.8476916485663801, accuracy: 0.8463952515797455
2024-06-01 15:30:16 - train: epoch 4, iter:0, loss: 1.0297, lr: 0.0009912321891107007
2024-06-01 16:40:06 - train: epoch 4, iter:5000, loss: 0.6575, lr: 0.0009912321891107007
2024-06-01 17:03:11 - val epoch: 4,  miou: 0.7207596530789168, f1_or_dsc: 0.837722632314487, accuracy: 0.8374534139647148
2024-06-01 17:03:12 - train: epoch 5, iter:0, loss: 1.0309, lr: 0.0009844486647586721
2024-06-01 18:13:28 - train: epoch 5, iter:5000, loss: 0.5842, lr: 0.0009844486647586721
2024-06-01 18:36:27 - val epoch: 5,  miou: 0.780138859464705, f1_or_dsc: 0.8764921402808946, accuracy: 0.881519846934249
2024-06-01 18:36:28 - train: epoch 6, iter:0, loss: 0.6182, lr: 0.0009757729755661009
2024-06-01 19:46:55 - train: epoch 6, iter:5000, loss: 0.5373, lr: 0.0009757729755661009
2024-06-01 20:09:55 - val epoch: 6,  miou: 0.7725865341719579, f1_or_dsc: 0.8717052953726315, accuracy: 0.8766662405563125
2024-06-01 20:09:56 - train: epoch 7, iter:0, loss: 0.6232, lr: 0.0009652393605146842
2024-06-01 21:19:51 - train: epoch 7, iter:5000, loss: 0.5527, lr: 0.0009652393605146842
2024-06-01 21:43:25 - val epoch: 7,  miou: 0.7994770821800318, f1_or_dsc: 0.8885660063105452, accuracy: 0.8945130268245143
2024-06-01 21:43:25 - train: epoch 8, iter:0, loss: 0.4258, lr: 0.0009528893909706795
2024-06-01 22:49:02 - train: epoch 8, iter:5000, loss: 0.5355, lr: 0.0009528893909706795
2024-06-01 23:11:29 - val epoch: 8,  miou: 0.704535759330542, f1_or_dsc: 0.8266599928736597, accuracy: 0.8213111116040026
2024-06-01 23:11:30 - train: epoch 9, iter:0, loss: 0.9556, lr: 0.0009387718066217122
2024-06-02 00:16:16 - train: epoch 9, iter:5000, loss: 0.5144, lr: 0.0009387718066217122
2024-06-02 00:39:26 - val epoch: 9,  miou: 0.7644327963249888, f1_or_dsc: 0.8664912576066047, accuracy: 0.8703612891752418
2024-06-02 00:39:26 - train: epoch 10, iter:0, loss: 0.8516, lr: 0.0009229423231234972
2024-06-02 01:43:48 - train: epoch 10, iter:5000, loss: 0.4868, lr: 0.0009229423231234972
2024-06-02 02:06:34 - val epoch: 10,  miou: 0.7575696529752711, f1_or_dsc: 0.8620650131194887, accuracy: 0.8619767553225481
2024-06-02 02:06:35 - train: epoch 11, iter:0, loss: 0.8541, lr: 0.0009054634122155987
